name,lat,lon
307-19,50.4480855,30.4585595
322-22,50.4459415,30.4547315
"1П-05",50.449142,30.4653065
5-04,50.450681,30.455048
625-22,50.4459415,30.4547315
"3П-05",50.449142,30.4653065
163-04,50.450681,30.455048
233-07,50.448603,30.457019
223-18,50.447021,30.456021
266-04,50.450681,30.455048
339-19,50.4480855,30.4585595
008-20,50.447054," 30.461190"
17-13,50.447853,30.455563
6-2-04,50.450681,30.455048
"5-04 0,5",50.450681,30.455048
"166д-01",50.449306,30.460681
228-07,50.448603,30.457019
"ВХ-04",50.450681,30.455048
212-04,50.450681,30.455048
406-24,50.44288,30.4477352
410-24,50.44288,30.4477352
"410-24 1,5",50.44288,30.4477352
33-13,50.447853,30.455563
402-24,50.44288,30.4477352
"406-24 0,5",50.44288,30.4477352
"402-24 0,6",50.44288,30.4477352
336-07,50.448603,30.457019
"402-24 0,5",50.44288,30.4477352
321-24,50.44288,30.4477352
3-31,50.4477841,30.4513813
"321-24 0,4",50.44288,30.4477352
315-24,50.44288,30.4477352
310-17,50.4467592,30.45714
1-219/5-1-01,50.449306,30.460681
310-12,50.4483613,30.4546884
412-12,50.4483613,30.4546884
417-12,50.4483613,30.4546884
413-12,50.4483613,30.4546884
333-19,50.4480855,30.4585595
410-12,50.4483613,30.4546884
520-19,50.4480855,30.4585595
112-07,50.448603,30.457019
114-07,50.448603,30.457019
116-07,50.448603,30.457019
153-16,50.447634," 30.457222"
152-16,50.447634," 30.457222"
327-24,50.44288,30.4477352
209-21,50.4465815,30.4610055
254-04,50.450681,30.455048
501-21,50.4465815,30.4610055
430-20,50.447054," 30.461190"
"207-20 1,5",50.447054," 30.461190"
307-20,50.447054," 30.461190"
293-01,50.449306,30.460681
611-21,50.4465815,30.4610055
605-21,50.4465815,30.4610055
172-01,50.449306,30.460681
"208-20 1,5",50.447054," 30.461190"
913-21,50.4465815,30.4610055
208-20,50.447054," 30.461190"
110-24,50.44288,30.4477352
104-24,50.44288,30.4477352
110/1-24,50.44288,30.4477352
"321-24 1,5",50.44288,30.4477352
"321-24 0,5",50.44288,30.4477352
"110/1-24 1,5",50.44288,30.4477352
"327-24 1,5",50.44288,30.4477352
"104-24 1,5",50.44288,30.4477352
"315-24 1,5",50.44288,30.4477352
"24-31 1,5",50.4477841,30.4513813
24-31,50.4477841,30.4513813
"327-24 0,5",50.44288,30.4477352
16-13,50.447853,30.455563
"16-13 1,5",50.447853,30.455563
232-07,50.448603,30.457019
"12-а-31",50.4477841,30.4513813
2-01-31,50.4477841,30.4513813
"3-31 1,5",50.4477841,30.4513813
"3-31 0,6",50.4477841,30.4513813
8-31,50.4477841,30.4513813
"16-13 0,5",50.447853,30.455563
521-19,50.4480855,30.4585595
"402-12 1,5",50.4483613,30.4546884
308-19,50.4480855,30.4585595
17-08,50.4520315,30.4533535
273-04,50.450681,30.455048
"402-24 1,5",50.44288,30.4477352
