url_wiki,name
"http://wiki.kpi.ua/index.php/Технологічні вимірювання та прилади в системах автоматизації хіміко-технологічних процесів-1_(13301330)","Технологічні вимірювання"
"http://wiki.kpi.ua/index.php/Технології розробки програмного забезпечення_(13301330)","Технології розробки програмного забезпечення"
"http://wiki.kpi.ua/index.php/Хімія_(13301410)","Хімія"
"http://wiki.kpi.ua/index.php/Візуальне програмування прикладних програм_(13301330)","Візуальне програмування прикладних програм"
"http://wiki.kpi.ua/index.php/Загальна хімічна технологія_(13301440)","Загальна. хім.техн."
"http://wiki.kpi.ua/index.php/Системи керування періодичними поцесами-1. Електричні машини_(13301610)","Системи керування періодичними процесами-1"
"http://wiki.kpi.ua/index.php/Технічні засоби та методи монтажу систем автоматизації хіміко-технологічних процесів і виробництв_(13301330)","Технічні засоби та метди монтажу"
"http://wiki.kpi.ua/index.php/Автоматизація хіміко-технологічних процесів та виробництв-3. Курсова робота_(13301330)","Автоматизація хіміко-технологічних процесів та виробництв-3. Курсова робота"
"http://wiki.kpi.ua/index.php/Технологічні вимірювання та прилади-1_(13301330)","Технологічні вимірювання та прилади-1"
"http://wiki.kpi.ua/index.php/Загальна екологія_(13001350)","Загальна екологія"
"http://wiki.kpi.ua/index.php/Фізика_(13003210)","Фізика"
"http://wiki.kpi.ua/index.php/Спеціальні розділи біогеохімії_(13001350)","Спеціальні розділи біогеохімії"
"http://wiki.kpi.ua/index.php/Іноземна мова-2. Практичний курс іноземної мови_(13002870)","Іноземна мова-2. Практичний курс"
"http://wiki.kpi.ua/index.php/Екологічний менеджмент і аудит_(13501350)","Екологічний менеджмент і аудит"
"http://wiki.kpi.ua/index.php/Маркетинг стартап-проектів_(13502520)","Маркетинг"
"http://wiki.kpi.ua/index.php/Математична статистика в екології_(13501350)","Математична статистика в екології"
"http://wiki.kpi.ua/index.php/Більш чисті виробництва_(13501350)","Більш чисті виробництва"
"http://wiki.kpi.ua/index.php/Практикум з іншомовного професійного спілкування_(13502870)","Практикум з іншомовного"
"http://wiki.kpi.ua/index.php/Екологічна сертифікація_(13501350)","Екологічна сертифікація"
"http://wiki.kpi.ua/index.php/Альтернативні джерела енергії_(13501350)","Альтернативні джерел"
"http://wiki.kpi.ua/index.php/Науково  робота за темою магістерської дисертації-2.  Науково-дослідна робота за темою магістерської дисертації_(13501350)","Науково  робота-2"
"http://wiki.kpi.ua/index.php/Екологічне інспектування_(13501350)","Екологічне інспектування"
"http://wiki.kpi.ua/index.php/Право в галузі реклами та PR_(13503370)","Право в галузі реклами"
"http://wiki.kpi.ua/index.php/Основи проектуванн та будівництва-1. Основи проектування та будівництва_(13501350)","Основи проектування та будівництва"
"http://wiki.kpi.ua/index.php/Оцінка впливу на довкілля_(13501350)","Оцінка впливу"
"http://wiki.kpi.ua/index.php/Фізико-хімічні основи процесів очищення води-2. Фізико-хімічні методи_(13501350)","Фізико-хімічні основи"
"http://wiki.kpi.ua/index.php/Утилізація та рекуперація відходів_(13501350)","Утилізація та рекупе"
"http://wiki.kpi.ua/index.php/Моніторинг довкілля-2. Інструментальні методи аналізу довкілля_(13501350)","Моніторинг довкілля-2"
"http://wiki.kpi.ua/index.php/Я маю право_(13503350)","Я маю право"
"http://wiki.kpi.ua/index.php/Екологія людини_(13501350)","Екологія людини"
"http://wiki.kpi.ua/index.php/Правові основи інформаційної безпеки_(13503370)","Правові основи інформац. безпеки"
"http://wiki.kpi.ua/index.php/Технології водоочищення_(13501350)","Технології водоочищення"
"http://wiki.kpi.ua/index.php/Іноземна мова професійного спрямування-1. Іноземна мова професійного спрямування_(13502870)","Іноземна мова проф."
"http://wiki.kpi.ua/index.php/Біогеохімія_(13501350)","Біогеохімія"
"http://wiki.kpi.ua/index.php/Гідрологія_(13501350)","Гідрологія"
"http://wiki.kpi.ua/index.php/Урбоекологія_(13501350)","Урбоекологія"
"http://wiki.kpi.ua/index.php/Радіоекологія_(13501350)","Радіоекологія"
"http://wiki.kpi.ua/index.php/Метеорологія та кліматологія_(13501350)","Метеорологія та клім"
"http://wiki.kpi.ua/index.php/Ландшафтна екологія_(13501350)","Ландшафтна екологія"
"http://wiki.kpi.ua/index.php/Аналітична хімія-2. Кількісний аналіз_(13501350)","Аналітична хімія-2."
"http://wiki.kpi.ua/index.php/Іноземна мова-2. Практичний курс іноземної мови_(13502870)","Іноземна мова-2. Практичний курс"
"http://wiki.kpi.ua/index.php/Основи проектування та будівництва_(13501350)","Основи проектування та будівництва"
"http://wiki.kpi.ua/index.php/Засади усного професійного мовлення (риторика)_(13502820)","Засади усного проф. мовлення"
"http://wiki.kpi.ua/index.php/Вища математика -2 Інтегральне числення_(13503260)","Вища математика -2 І"
"http://wiki.kpi.ua/index.php/Фізика_(13503210)","Фізика"
"http://wiki.kpi.ua/index.php/Спеціальні розділи біогеохімії_(13501350)","Спеціальнв розділи біогеохімії"
"http://wiki.kpi.ua/index.php/Фізика-2. Електромагнітні хвилі. Квантова механіка. Фізика твердого тіла_(13003210)","Фізика-2"
"http://wiki.kpi.ua/index.php/Математика-2. Функції багатоьх змінних. Ряди. Теорія ймовірностей_(13003260)","Математика-2."
"http://wiki.kpi.ua/index.php/Теоретична механіка-1. Статика. Кінематика_(13001210)","Теретична механіка-1."
"http://wiki.kpi.ua/index.php/Інженерна та комп'ютерна графіка-2. Комп'ютерна графіка_(13003270)","Інженерна та комп. графіка"
"http://wiki.kpi.ua/index.php/Інтелектуальна власність та патентознавство-1. Право інтелектуальної власності_(13403370)","Інтелектуальна власність"
"http://wiki.kpi.ua/index.php/Наукова робота за темою магістерської дисертації-1. Основи наукових досліджень_(13401340)","Наукова робота за темою маг. дисертаціїї"
"http://wiki.kpi.ua/index.php/Розрахунок і конструювання обретових елементів обладнання_(13401340)","Розрахунок і констрування обретових елементів обладнання"
"http://wiki.kpi.ua/index.php/Процеси та обладнання глибокої переробки органічної сировини_(13401340)","Процеси та обладнання глтбокої переробки"
"http://wiki.kpi.ua/index.php/Практикум з іншомовного професійного спілкування_(13402870)","Практикум з іншомовного проф. спілкування"
"http://wiki.kpi.ua/index.php/Автоматизація виробничих процесів_(13401330)","Автоматизація виробничих процесів"
"http://wiki.kpi.ua/index.php/Основи інженерії та технології сталого розвитку_(13403710)","Основи інженерії та технології сталого розвитку"
"http://wiki.kpi.ua/index.php/Сучасні технології проектування та виготовлення обладнання_(13401340)","Сучасні технології проектування та виготовлення обладнання"
"http://wiki.kpi.ua/index.php/Методи 3D-інженерії_(13401340)","Методи 3D- інженерії"
"http://wiki.kpi.ua/index.php/Маркетинг стартап-проектів_(13402520)","Маркетинг"
"http://wiki.kpi.ua/index.php/Процеси та обладнання синтезу та переробки високомолекулярних речовин_(13401340)","Процеси та обладнання синтезу"
"http://wiki.kpi.ua/index.php/Моделювання процесів мамбранного розділення_(13401340)","Моделювання процесів мембранного розділення"
"http://wiki.kpi.ua/index.php/Апарати високого тиску_(13401340)","Апарати високого тиску"
"http://wiki.kpi.ua/index.php/Науково-дослідна робота за темою магістерської дисертації-2. Науково-дослідна робота за темою магістерської дисертації_(13401340)","Науково-дослідна робота"
"http://wiki.kpi.ua/index.php/Практикум з мовної комунікації та перекладу (англійська мова)_(28402850)","Практикум з мовної комунікації та перекладу (англійська мова)"
"http://wiki.kpi.ua/index.php/Практикум з мовної комунікації та перекладу (німецька мова)_(28402840)","Практикум з мовної комунікації та перекладу (німецька мова)"
"http://wiki.kpi.ua/index.php/Наукова робота за темою магістерської дисертації. Загальне мовознавство_(28402820)","Загальне мовознавство"
"http://wiki.kpi.ua/index.php/Інноваційний менеджмент_(28402530)","Інноваційний менеджмент"
"http://wiki.kpi.ua/index.php/Інтелектуальна власністьта патентознавство. Патентознавство та набуття права_(28401250)","Патентознавство та набуття права"
"http://wiki.kpi.ua/index.php/Наукова робота за темою магістерської дисертації. Методологія лінгвістичних та перекладознавчих досліджень_(28402840)","Методологія лінгвістичних та перекладознавчих досліджень"
"http://wiki.kpi.ua/index.php/Педагогіка вищої школи та методика навчання іноземних мов і перекладу_(28402840)","Педагогіка вищої школи та методика навчання іноземних мов і перекладу"
"http://wiki.kpi.ua/index.php/Інтелектуальна власністьта патентознавство. Право інтелектуальної власності_(28403370)","Право інтелектуальної власності"
"http://wiki.kpi.ua/index.php/Теорія перекладу_(28402840)","Теорія перекладу"
"http://wiki.kpi.ua/index.php/Інклюзивне зелене зростання_(284033Jz)","Інклюзивне зелене зростання"
"http://wiki.kpi.ua/index.php/Практикум з усного перекладу_(28402840)","Практикум з усного перекладу"
"http://wiki.kpi.ua/index.php/Комунікативна та мовна медіація в перекладі_(28402840)","Комунікативна та мовна медіація в перекладі"
"http://wiki.kpi.ua/index.php/Перекладацький проєкт_(28402840)","Перекладацький проєкт"
"http://wiki.kpi.ua/index.php/Теорія і практика копірайтингу_(28402840)","Теорія і практика копірайтингу"
"http://wiki.kpi.ua/index.php/Теорія міжкультурної комунікації_(28402840)","Теорія міжкультурної комунікації"
"http://wiki.kpi.ua/index.php/Основи корпусної та комп'ютерної лінгвістики_(28402840)","Основи корпусної та комп'ютерної лінгвістики"
"http://wiki.kpi.ua/index.php/Друга іноземна мова (англійська мова С1.1.)_(28402850)","Друга іноземна мова (англійська мова С1.1.)"
"http://wiki.kpi.ua/index.php/Аудіовізуальний переклад_(28402840)","Аудіовізуальний переклад"
"http://wiki.kpi.ua/index.php/Переклад у галузі медицини_(28402840)","Переклад у галузі медицини"
"http://wiki.kpi.ua/index.php/Охорона праці та цивільний захист_(13402350)","Охорона праці та цивільний захист"
"http://wiki.kpi.ua/index.php/Процеси та обладнання хімічних технологій-4. Масообмінні процеси_(13401340)","Процеси та обладнання хімічних технологій"
"http://wiki.kpi.ua/index.php/Економіка і організація виробництва_(13402540)","Економіка і організація виробництва"
"http://wiki.kpi.ua/index.php/Розрахунок і конструювання типового обладнання-2. Розрахунок і конструювання товстостінних полсудин, теплообмінних та колонних апаратів_(13401340)","Розрахунок і конструювання"
"http://wiki.kpi.ua/index.php/Підйомно-транспортні машини та роторно-конвеєрні лінії_(13401260)","Підйомно-транспортні машини"
"http://wiki.kpi.ua/index.php/Іноземна мова професійного спрямування-2. Іноземна мова для професійно-орієнтованого спілкування. Ділове мовлення_(13402870)","Іноземна мова проф."
"http://wiki.kpi.ua/index.php/Основи автоматизації_(13401330)","Основи автоматизації"
"http://wiki.kpi.ua/index.php/Основи виготовлення, експлуатації та ремонту обладнання_(13401340)","Основи виготовлення, експлуатац."
"http://wiki.kpi.ua/index.php/Спеціальні методи терміної підготовки-1. Спеціальні методи терміної підготовки_(13401340)","Спеціальні методи терміної підготовки"
"http://wiki.kpi.ua/index.php/Системи тривимірного моделювання_(13401340)","Системи тривимірного моделювання"
"http://wiki.kpi.ua/index.php/Переклад та редагування фахових текстів. Переклад комерційних документів._(28402840)","Переклад комерційних документів"
"http://wiki.kpi.ua/index.php/Практичний курс перекладу Суспільні науки  1_(28402840)","Практичний курс перекладу"
"http://wiki.kpi.ua/index.php/Німецька мова (основна, практичний курс) Рівень володіння: професійний 1_(28402840)","Німецька мова"
"http://wiki.kpi.ua/index.php/Послідовний переклад 1_(28402840)","Послідовний переклад"
"http://wiki.kpi.ua/index.php/Порівняльна типологія. Порівняльна стилістика_(28402840)","Порівняльна стилістика"
"http://wiki.kpi.ua/index.php/Дидактичні та методичні засади навчання іноземних мов. Методика та дидактика викладання_(28402840)","Методика та дидактика викладання"
"http://wiki.kpi.ua/index.php/Друга англійська мова (практичний курс)  Рівень володіння: професійний_(28402850)","Друга англійська мова"
"http://wiki.kpi.ua/index.php/Практичний курс перекладу з другої англійської мови_(28402850)","Практичний курс перекладу з другої англійської мови"
"http://wiki.kpi.ua/index.php/Послідовний переклад 2_(28402840)","Послідовний переклад"
"http://wiki.kpi.ua/index.php/Німецька мова (основна, практичний курс) Рівень володіння: професійний 2_(28402840)","Німецька мова"
"http://wiki.kpi.ua/index.php/Безпека життєдіяльності та цивільний захист_(28402350)","БЖД та цивільний захист"
"http://wiki.kpi.ua/index.php/Практичний курс перекладу Суспільні науки  2_(28402840)","Практичний курс перекладу"
"http://wiki.kpi.ua/index.php/Метрологія і стандартизація_(13401250)","Метрологія і стандартизація"
"http://wiki.kpi.ua/index.php/Теоретичні основи теплотехніки_(13401310)","Теор.основ.теплотехн"
"http://wiki.kpi.ua/index.php/Процеси та технології первинної газо і нафтопереробки_(13401340)","Процеси та технології первинної"
"http://wiki.kpi.ua/index.php/Процеси та обладнання хімічних технологій-2. Теплові процеси_(13401340)","Процеси та обладнання"
"http://wiki.kpi.ua/index.php/Теорія механізмів і машин-2. Синтез механізмів_(13401260)","Теорія механізмів і машин-2"
"http://wiki.kpi.ua/index.php/Іноземна мова  професійного спрямування-1.Іноземна мова професійного спрямування_(13402870)","Іноземна мова проф."
"http://wiki.kpi.ua/index.php/Деталі машин -1. Механічні передачі_(13404280)","Деталі машин"
"http://wiki.kpi.ua/index.php/Розрахунок та проектування холодильного обладнання_(13401340)","Розрахунок та проектування холодильного обладнання"
"http://wiki.kpi.ua/index.php/Розрахунок і конструювання типового обладнання-1. Розрахунок і конструювання тонкостінних посудин_(13401340)","Розрахунок і констр."
"http://wiki.kpi.ua/index.php/Процеси та обладнання хімічних технологій-3. Гідромеханічні та механічні процеси_(13401340)","Процеси та обладнання хім. технологій"
"http://wiki.kpi.ua/index.php/Деталі машин-2. Деталі та з'єднання_(13404280)","Деталі машин"
"http://wiki.kpi.ua/index.php/Технологічні основи машинобудування_(13401230)","Техн. основ.машин."
"http://wiki.kpi.ua/index.php/Загальна хімічна технологія_(13401440)","Загальна хімічна технологія"
"http://wiki.kpi.ua/index.php/Практичний курс перекладу Технічні науки 1_(28402840)","Практичний курс перекладу"
"http://wiki.kpi.ua/index.php/Інформаційні технології у перекладі_(28402840)","Інформаційні технології у перекладі"
"http://wiki.kpi.ua/index.php/Прикладні лінгвістичні дослідження. Основи перекладознавства_(28402840)","Основи перекладознавства"
"http://wiki.kpi.ua/index.php/Порівняльна типологія. Порівняльна лексикологія_(28402840)","Порівняльна лексикологія"
"http://wiki.kpi.ua/index.php/Основи економіки_(28402540)","Основи економіки"
"http://wiki.kpi.ua/index.php/Німецька мова (основна, практичний курс) Рівень володіння: автономний 1_(28402840)","Німецька мова"
"http://wiki.kpi.ua/index.php/Друга англійська мова (практичний курс)  Рівень володіння: рубіжний поглиблений_(28402850)","Друга англійська мова"
"http://wiki.kpi.ua/index.php/Транснаціональні корпорації_(28402540)","Транснаціональні корпорації"
"http://wiki.kpi.ua/index.php/Business Law_(28403370)","Business Law"
"http://wiki.kpi.ua/index.php/Право в галузі реклами та PR_(28403370)","Право в галузі реклами та PR"
"http://wiki.kpi.ua/index.php/Трудове право_(28403360)","Трудове право"
"http://wiki.kpi.ua/index.php/Я маю право_(28403350)","Я маю право"
"http://wiki.kpi.ua/index.php/Друга англійська  мова (практичний курс)  Рівень володіння: автономний_(28402850)","Друга англійська  мова"
"http://wiki.kpi.ua/index.php/Практична граматика німецької мови_(28402840)","Практична граматика німецької мови"
"http://wiki.kpi.ua/index.php/Німецька мова (основна, практичний курс) Рівень володіння: автономний 2_(28402840)","Німецька мова"
"http://wiki.kpi.ua/index.php/Практичний курс перекладу Технічні науки  2_(28402840)","Практичний курс перекладу"
"http://wiki.kpi.ua/index.php/Засади усного професійного мовлення (риторика)_(28402820)","Засади усного професійного мовлення (риторика)"
"http://wiki.kpi.ua/index.php/Культура мови та ділове мовлення_(28402820)","Культура мови та ділове мовлення"
"http://wiki.kpi.ua/index.php/Сучасна українська мова. Стилістика сучасної української мови_(28402820)","Стилістика сучасної української мови"
"http://wiki.kpi.ua/index.php/Інформатика_(13401340)","Інформатика"
"http://wiki.kpi.ua/index.php/Іноземна мова-2. Практичний курс іноземної мови_(13402870)","Іноземна мова-2. Практичний курс"
"http://wiki.kpi.ua/index.php/Системи автоматизованого інжинірингу_(13401340)","Системи автоматизованого інжирингу"
"http://wiki.kpi.ua/index.php/Механіка матеріалів і конструкцій-1. Основи опору матеріалів_(13401210)","Механіка матеріалів і конструкцій-1"
"http://wiki.kpi.ua/index.php/Вступ до філософії_(13403320)","Вступ до філософії"
"http://wiki.kpi.ua/index.php/Логіка_(13403320)","Логіка"
"http://wiki.kpi.ua/index.php/Теоретична механіка-2. Динаміка та аналітична_(13401210)","Теоретична механіка-2"
http://wiki.kpi.ua/index.php/Logic_(13403320),Logic
"http://wiki.kpi.ua/index.php/Комп'ютерно-інтегровані системи розрахунку хімічного обладнання_(13401340)","Комп'ютерно-інтегровані системи розрахунку"
"http://wiki.kpi.ua/index.php/Екологічна та природно-техногенна безпека_(13401350)","Екологічна та природно-техногенна безпека"
"http://wiki.kpi.ua/index.php/Промислова екологія_(13401350)","Промислова екологія"
"http://wiki.kpi.ua/index.php/Стратегія охорони навколишнього середовища_(13401350)","Стратегія охорони навколишнього середовища"
"http://wiki.kpi.ua/index.php/Основи електротехніки та електроприводи_(13401610)","Основи електротехніки та електроприводи"
"http://wiki.kpi.ua/index.php/Механіка матеріалів і конструкцій-2. Опір матеріалів при складному навантаженні_(13401210)","Механіка матеріалів і конструкцій-2."
"http://wiki.kpi.ua/index.php/Процеси та обладнання хімічних технології-1. Базові принципи теорії тепло та масообміну_(13401340)","Процеси та обладнання хімічних технології-1"
"http://wiki.kpi.ua/index.php/Числові методи аналізу_(13401340)","Числові методи аналізу"
"http://wiki.kpi.ua/index.php/Психологія конфлікту_(13403320)","Психологія конфлікту"
"http://wiki.kpi.ua/index.php/Конструкційні матеріали та основи металознавства_(13404220)","Конструкційні матеріали та основи металознавства"
"http://wiki.kpi.ua/index.php/Теорія механізмів і машин-1. Класифікація і аналіз механізмів_(13401260)","Теорія механізмів і машин-1"
"http://wiki.kpi.ua/index.php/Social Psychology_(13403340)","Social Psychology"
"http://wiki.kpi.ua/index.php/Актуальні проблеми азійських спільнот_(13403330)","Актуальні проблеми"
"http://wiki.kpi.ua/index.php/Друга англійська мова (практичний курс)  Рівень володіння:  середній_(28402850)","Друга англійська мова"
"http://wiki.kpi.ua/index.php/Німецька мова (основна, практичний курс) Рівень володіння: рубіжний поглиблений 1_(28402840)","Німецька мова"
"http://wiki.kpi.ua/index.php/Практична фонетика німецької мови_(28402840)","Практична фонетика німецької мови"
"http://wiki.kpi.ua/index.php/Лінгвокраїнознавство німецькомовних країн_(28402840)","Лінгвокраїнознавство німецькомовних країн"
"http://wiki.kpi.ua/index.php/Психологія_(28403340)","Психологія"
"http://wiki.kpi.ua/index.php/Психологія конфлікту_(28403340)","Психологія конфлікту"
"http://wiki.kpi.ua/index.php/Social Psychology_(28403340)","Social Psychology"
"http://wiki.kpi.ua/index.php/Соціальна психологія_(28403340)","Соціальна психологія"
"http://wiki.kpi.ua/index.php/Друга англійська мова (практичний курс)  Рівень володіння: рубіжний_(28402850)","Друга англійська мова"
"http://wiki.kpi.ua/index.php/Екологічний менеджмент_(28402340)","Екологічний менеджмент"
"http://wiki.kpi.ua/index.php/Інженерна екологія_(28402340)","Інженерна екологія"
"http://wiki.kpi.ua/index.php/Німецька мова (основна, практичний курс) Рівень володіння: рубіжний поглиблений 2_(28402840)","Німецька мова"
"http://wiki.kpi.ua/index.php/Вступ до філософії_(28403320)","Вступ до філософії"
"http://wiki.kpi.ua/index.php/Логіка_(28403320)","Логіка"
"http://wiki.kpi.ua/index.php/Вступ до романо-германського мовознавства. Історія німецької мови_(28402840)","Історія німецької мови"
"http://wiki.kpi.ua/index.php/Надійність , довговічність та сучасні методи проектування устаткування_(13401340)","НалійністьБ довговічність та сучасні методи проектування"
"http://wiki.kpi.ua/index.php/Педагогіка вищої школи_(13403340)","Педагогіка вищої школи"
"http://wiki.kpi.ua/index.php/Процеси перенесення в хімічній інженерії-1. Процеси перенесення в хімічній інженерії_(13401340)","Процеси перенесення в хімічній інженерії-1"
"http://wiki.kpi.ua/index.php/Математичне моделювання систем і процесів_(13401330)","Математичне моделювання"
"http://wiki.kpi.ua/index.php/Практикум з іншомовного наукового спілкування-2. Практикум з іншомовного наукового спілкування_(13402870)","Практикум з іншомовного наукового спілкування"
"http://wiki.kpi.ua/index.php/Математичні методи оптимізації_(13401330)","Математичні методи оптимізації"
"http://wiki.kpi.ua/index.php/Фізика-1. Механіка. Молекулярна фізика. Електрика і магнетизм_(13403210)","Фізика-1."
"http://wiki.kpi.ua/index.php/Математика-1. Аналітична геометрія. Диференціальне та інтегральне  числення._(13403260)","Вища математика-1."
"http://wiki.kpi.ua/index.php/Теоретична механіка-1. Статика, кінематика_(13401210)","Теоретична механіка"
"http://wiki.kpi.ua/index.php/Іноземна мова-1. Практичний курс іноземної мови_(13402870)","Іноземна мова-1"
"http://wiki.kpi.ua/index.php/Процеси та обладнання хімічних технологій-1. Базові принципи теорії тепломасообміну_(13401340)","Процеси та обладнання"
"http://wiki.kpi.ua/index.php/Фізика-2. Електромагнітні хвилі. Квантова механіка. Фізика твердого тіла_(13403210)","Фізика-2."
"http://wiki.kpi.ua/index.php/Математика-2.Функції багатьох змінних.Ряди.Теорія ймовірностей_(13403260)","Вища математика-"
"http://wiki.kpi.ua/index.php/Числові методи аналізу-1. Числове інтегрування_(13401340)","Числові методи аналізу-1."
"http://wiki.kpi.ua/index.php/Розрахунок і конструювання типового обладнання-1. Розрахунок та конструювання основних елементів посудин та апаратів_(13401340)","Розрахунок і конструювання типового обладнання-1"
"http://wiki.kpi.ua/index.php/Технології термічної обробки_(13401340)","Технології термічної обробки"
"http://wiki.kpi.ua/index.php/Матеріалознавство_(13404220)","Матеріалознавство"
"http://wiki.kpi.ua/index.php/Комп'ютеризовані системи проектування-2. Методи розрахунку на ПК_(13401340)","Комп. системи проектування-2"
"http://wiki.kpi.ua/index.php/Технологія композиційних матеріалів_(13101310)","Техн.комп.матеріалів"
"http://wiki.kpi.ua/index.php/Маркетинг стартап-проектів_(13102520)","Маркетинг стартап-проектів"
"http://wiki.kpi.ua/index.php/САПР технологічного обладнання_(13101310)","САПР технологічного обладнання"
"http://wiki.kpi.ua/index.php/Обладнання хімічних, полімерних і силікатних виробництв_(13101310)","Обладнання хімічних, полімерних"
"http://wiki.kpi.ua/index.php/Практикум з іншомовного професійного спілкування_(13102870)","Практикум з іншомовного професійного спілкування"
"http://wiki.kpi.ua/index.php/Наукова робота за темою магістерської дисертації-2. Науково-дослідна робота за темо. магістерської дисертації_(13101310)","Наукова робота за темою магістерської дисертації"
"http://wiki.kpi.ua/index.php/Модернізація технологічного обладнання_(13101310)","Модернізація технологічного обладнання"
"http://wiki.kpi.ua/index.php/Числові методи моделювання_(13101310)","Числові методи моделювання"
"http://wiki.kpi.ua/index.php/Процеси, апарати і машини галузі-3. Гідромеханічні процеси_(13101310)","Процеси , апарати"
"http://wiki.kpi.ua/index.php/Основи автоматизації_(13101330)","Основи автоматизації"
"http://wiki.kpi.ua/index.php/Монтаж і експлуатація і  надійність  технологічного обладнання1. Надійність, експлуатація і обслуговування машин_(13101310)","Монтаж і експлуатація"
"http://wiki.kpi.ua/index.php/Обладнання для напівсухого формування_(13101310)","Обладнання для напівсухого формування"
"http://wiki.kpi.ua/index.php/Технологічні основи машинобудування-2. Проектування технологічних процесів_(13101230)","Техн.основи машиноб."
"http://wiki.kpi.ua/index.php/Деталі машин-2. Деталі з'єднання_(13104280)","Деталі машин-2"
"http://wiki.kpi.ua/index.php/Реологія_(13101310)","Реологія"
"http://wiki.kpi.ua/index.php/Процеси, апарати і машини галузі-1.Теплові процеси_(13101310)","Процеси, апарати"
"http://wiki.kpi.ua/index.php/Екстузійне та пресове обладнання_(13101310)","Екстузійне та пресове обладнання"
"http://wiki.kpi.ua/index.php/Правознавство_(13103350)","Правознавство"
"http://wiki.kpi.ua/index.php/Іноземна мова професійного спрямування-1. Іноземна мова професійного спрямування_(13102870)","Іноземна мова профес"
"http://wiki.kpi.ua/index.php/ПРаво в галузі реклами та PR_(13103370)","Право в галузі реклами та PR"
"http://wiki.kpi.ua/index.php/Механіка матеріалів і конструкцій-2. Опір матеріалів при складному навантаженні_(13101210)","Механіка матеріалів і конструкцій-2."
"http://wiki.kpi.ua/index.php/Матеріалознавство_(13104220)","Матеріалознавство"
"http://wiki.kpi.ua/index.php/Електротехніка та електроніка_(13101610)","Електротехніка та електроніка"
"http://wiki.kpi.ua/index.php/Теорія механізмів  і машин_(13101260)","Теорія механізмів і машин"
"http://wiki.kpi.ua/index.php/Психологія конфлікту_(13103340)","Психологія конфлікту"
"http://wiki.kpi.ua/index.php/Технологія виробництва матеріалів і виробів будівельного призначення_(13101310)","Технологія виробництва матеріалів"
"http://wiki.kpi.ua/index.php/Технологія переробки полімерів_(13101310)","Технологія переробки полімерів"
"http://wiki.kpi.ua/index.php/Іноземна мова-2. Практичний курс іноземної мови_(13102870)","Іноземна мова-2"
"http://wiki.kpi.ua/index.php/Психологія_(13103340)","Психологія"
"http://wiki.kpi.ua/index.php/Соціальна психологія_(13103340)","Соціальна психологія"
"http://wiki.kpi.ua/index.php/Конструкторське проектування обладнання_(13101310)","Констр. проект. обла"
"http://wiki.kpi.ua/index.php/Механіка суцільних середовищ_(13101310)","Механіка суцільних середовищ"
"http://wiki.kpi.ua/index.php/Інжиніринг технологічного обладнання_(13101310)","Інжиніринг технологічного обладнання"
"http://wiki.kpi.ua/index.php/Основи інженерії та технології сталого розвитку_(13103710)","Основи інженерії та технології"
"http://wiki.kpi.ua/index.php/Практикум з іншомовного професійного спілкування_(13102830)","Практикум з іншомовного професійного спілкування"
"http://wiki.kpi.ua/index.php/Інтелектуальна власність та патентознавство-1. Право інтелектуальної власності_(13103370)","Інтелектуальна власність та патентознавство-1. Право інтелектуальної власності"
"http://wiki.kpi.ua/index.php/Інтелектуальна власність та патентознавство-2. Патентознавство та набуття прав_(13101310)","Інтелектуальна власність та патентознавство-2. Патентознавство та набуття прав"
"http://wiki.kpi.ua/index.php/Наукова робота за темою магістерської дисертації-1. Основи наукових досліджень_(13101310)","Основи наукових досліджень"
"http://wiki.kpi.ua/index.php/Методологія проектування_(13101310)","Методологія проектув"
"http://wiki.kpi.ua/index.php/Процеси, апарати і машини галузі-3.Гідромеханічні процеси_(13101310)","Процеси , апарати"
"http://wiki.kpi.ua/index.php/Українська мова за професійним спрямуванням_(13002820)","Українська мова за професійним спрямуванням"
"http://wiki.kpi.ua/index.php/Інженерна та комп'ютерна графіка_(13003270)","Інженерна та комп'ютерна графіка"
"http://wiki.kpi.ua/index.php/Практикум з іншомовного наукового спілкування-1._(13102870)","Практикум зіншомовного наукового"
"http://wiki.kpi.ua/index.php/Технології обладнання для виготовлення  пакувальних  матеріалів_(13101350)","Технологічне обладна"
"http://wiki.kpi.ua/index.php/Право в галузі та PR_(13103370)","Право в галузі та PR"
"http://wiki.kpi.ua/index.php/Виконавчі пристрої механотронних систем_(13101260)","Виконавчі пристрої механ. систем"
"http://wiki.kpi.ua/index.php/Пакувальне обладнання-1. Обладнання для дозування_(13101310)","Пакувальне обладнання-1"
"http://wiki.kpi.ua/index.php/Інженерні розрахунки на ПЕОМ_(13101310)","Інженерні розрахунки"
"http://wiki.kpi.ua/index.php/Теорія механізмів і машин-1. Класифікація і аналіз механізмів_(13101260)","Теорія механ. і машин"
"http://wiki.kpi.ua/index.php/Математика-2. Функції багатьох змінних. Ряди. Теорія ймовірностей_(13103260)","Математика-2."
"http://wiki.kpi.ua/index.php/Фізика-2 Електромагнітні хвилі. Квантова механіка. Фізика твердого тіла_(13103210)","Фізика-2 Електромагн"
"http://wiki.kpi.ua/index.php/Третя іноземна мова (німецька мова, рівень В1.1)_(28602840)","Третя іноземна мова (німецька мова, рівень В1.1)"
"http://wiki.kpi.ua/index.php/Соціолінгвістична та гендерна практики у перекладі_(28602860)","Соціолінгвістична та гендерна практики у перекладі"
