url_wiki,name
"http://wiki.kpi.ua/index.php/Управління ризиками інформаційної безпеки_(20302030)","Управління ризиками інформаційної безпеки"
"http://wiki.kpi.ua/index.php/Практичний курс іншомовного наукового спілкування-1. Практичний курс іноземної мови для наукового спілкування І_(20302830)","Ін. мова 1"
"http://wiki.kpi.ua/index.php/Сучасні технології створення програмних систем_(20302030)","СТСПС"
"http://wiki.kpi.ua/index.php/Нейротехнології та нейрокомп'ютерні системи_(20302030)","Нейротехнології та нейрокомпютерні системи"
"http://wiki.kpi.ua/index.php/Інноваційний менеджмент_(20302510)","Інноваційний менеджмент"
"http://wiki.kpi.ua/index.php/Наукова робота за темою магістерської дисертації - 1. Основи наукових досліджень_(20302030)","Наук. дослідження 1"
"http://wiki.kpi.ua/index.php/Технології проектування постреляційних та об'єктно-орієнтованих баз даних_(20302030)","Техн. проект. БД"
"http://wiki.kpi.ua/index.php/Курсова робота з нейротехнологій та нейрокомп'ютерних систем_(20302030)","Курсова робота з нейротехнологій та нейрокомпютерних систем"
"http://wiki.kpi.ua/index.php/Сталий інноваційний розвиток_(20303710)","Сталий інноваційний розвиток"
"http://wiki.kpi.ua/index.php/Іноземна мова. Практичний курс іноземної мови-І_(20402880)","Іноз. мова. Практич. курс іноз. мови-І"
"http://wiki.kpi.ua/index.php/Фізика_(20403220)","Фізика"
"http://wiki.kpi.ua/index.php/Об'єктно-орієнтоване програмування_(20402040)","Об'єктно-орієнтоване програмування"
"http://wiki.kpi.ua/index.php/Дискретна математика_(20402040)","Дискретна математика"
"http://wiki.kpi.ua/index.php/Вища математика-2. Диференціальне та інтегральне обчислення функції богатьох змінних_(20403240)","Вища математика-2"
"http://wiki.kpi.ua/index.php/Комп'ютерна логіка-2. Комп'ютерна арифметика_(20402040)","Комп'ютерна логіка-2. Комп'ютерна арифметика"
"http://wiki.kpi.ua/index.php/Культура науково-технічного мовлення фахівця_(20402820)","Культура науково-технічного мовлення фахівця"
"http://wiki.kpi.ua/index.php/Інтернет технології_(20402040)","Інтернет технології"
"http://wiki.kpi.ua/index.php/Планування обчислень в ПКС_(20402040)","Планування обчислень в ПКС"
"http://wiki.kpi.ua/index.php/Глибинне навчання_(20402040)","Глибинне навчання"
"http://wiki.kpi.ua/index.php/Інтелектуальна власність та патентознавство-2. Патентознавство та набуття прав_(20401250)","Патентознавство та набуття прав"
"http://wiki.kpi.ua/index.php/Інтернет сервиси_(20402040)","Інтернет сервиси"
"http://wiki.kpi.ua/index.php/Засоби підвищення продуктивності ПКС_(20402040)","Засоби підвищення продуктивності ПКС"
"http://wiki.kpi.ua/index.php/Технології розподілених обчислень_(20402040)","Технології розподілених обчислень"
"http://wiki.kpi.ua/index.php/Дослідження і проектування паралельних систем_(20402040)","Дослідження і проектування паралельних систем"
"http://wiki.kpi.ua/index.php/Нейронні мережі_(20402040)","Нейронні мережі"
"http://wiki.kpi.ua/index.php/Основи сталого розвитку_(20401330)","Основи сталого розвитку"
"http://wiki.kpi.ua/index.php/Інтелектуальна власність та патентознавство-1. Право інтелектуальної власності_(20403370)","Право інтелектуальної власності"
"http://wiki.kpi.ua/index.php/Мережні інформаційні технології_(20402040)","Мережні інформаційні технології"
"http://wiki.kpi.ua/index.php/Практичний курс іншомовного ділового спілкування. Практичний курс іноземної мови для ділового спілкування_(20402880)","Практичний курс іншомовного ділового спілкування. Практичний курс іноземної мови для ділового спілкування"
"http://wiki.kpi.ua/index.php/Технології програмування комп'ютерних мереж_(20402040)","Технології програмування комп'ютерних мереж"
"http://wiki.kpi.ua/index.php/Розподіл ресурсів у високопродуктивних ПКС_(20402040)","Розподіл ресурсів у високопродуктивних ПКС"
