teacher_id,cathedra_id
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=c18ddf7d-afa0-4aee-9de0-56398a2a581c,10161
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=8de669d1-4d84-4f89-b9eb-9b9c517b85ae,11207
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=53bb6a07-bc0a-4c9b-a0e5-58866f4b3e19,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=05251572-bbd4-48c3-9a08-f8e2d8032b19,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=f7276af4-71fb-4e9a-9ebb-fdb8d7f3dc20,10154
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=79a85d4a-4540-466f-aa88-35a3ef5d953c,10120
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=79a85d4a-4540-466f-aa88-35a3ef5d953c,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=6648392a-25d5-41e7-9375-f24c1db3a7d1,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=3616fe25-c15f-4d3e-986b-deb3928e21b8,10120
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=3616fe25-c15f-4d3e-986b-deb3928e21b8,10121
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=3616fe25-c15f-4d3e-986b-deb3928e21b8,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=3616fe25-c15f-4d3e-986b-deb3928e21b8,10193
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=861f46ec-fe2f-42d2-a67c-b27294161814,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=e9faaa5d-bed1-419b-bfab-1c6488a17cf2,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=55046f93-c587-4800-bd3d-744334d539eb,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=e7dcb933-3b60-4568-81a7-9d52e4902434,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=97a67561-e788-4116-acbe-333818a3f37b,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=8b42c295-e999-4374-88e8-76f65db25c33,10120
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=8b42c295-e999-4374-88e8-76f65db25c33,10121
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=8b42c295-e999-4374-88e8-76f65db25c33,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=8b42c295-e999-4374-88e8-76f65db25c33,10193
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=887f95e1-1107-4351-b884-43f6d85ff617,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=285bd562-5ab0-44f4-ac1f-5b4e19af81a7,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=76c3c914-7484-4766-8703-b48a296c7d6c,10193
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=76c3c914-7484-4766-8703-b48a296c7d6c,10121
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=76c3c914-7484-4766-8703-b48a296c7d6c,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=f4e69cf2-75dd-4f34-8d93-83a64ceddb02,10167
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=493885ce-98b3-4f17-84c3-5ec38540548f,10154
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=94687ce2-be41-4aac-8462-2d5161a721fe,11207
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=06a09f09-9007-49ee-85e7-c247d22e071b,10154
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=ea8926e0-67c7-4749-a156-4526bb0485c4,10154
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=436a15f9-4cea-4897-af1d-5eca7a4844ad,10154
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=23e0a1d9-a9df-475a-81fe-7dc806201efe,11207
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=db0a3af0-3a87-4968-9ace-e705cdb554c9,10154
