id_campus,name,name_rozklad,url_rozklad,cathedra_id
10003,"ІА-01мн","ІА-01мн",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=9f47069e-23eb-4ce4-8476-5771bb8cd338,10121
10013,"ІА-01ф","ІА-01ф",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=be2f6da6-e6d1-4633-9c0e-af74586c0b9c,10121
2545,"ІА-02","ІА-02",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=7106a8fa-1b85-4086-951c-4baf1194f260,10121
10006,"ІА-02мп","ІА-02мп",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=939ffd4e-7a4a-4f10-96be-574b00f06d6b,10121
2546,"ІА-03","ІА-03",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=25f67105-a79e-4666-b511-fb2803fdc6fc,10121
10009,"ІА-04","ІА-04",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=96860c67-2892-4fe3-8a2f-b15dc3adc159,10121
2550,"ІА-71","ІА-71",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=e13bd1e7-22a7-4217-8170-a2a00fd3bbb1,10121
2553,"ІА-72","ІА-72",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=f13313f6-5808-414c-88c6-ab4f1d443b9a,10121
7230,"ІА-73","ІА-73",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=a1a1edb8-397a-4dac-af8e-47d468fec29d,10121
8290,"ІА-81","ІА-81",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=ae7c3d8c-9a36-434d-af7c-31a62779905e,10121
2552,"ІА-82","ІА-82",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=f7d870b3-3e81-4133-a4b3-90eed09aa8a8,10121
2554,"ІА-83","ІА-83",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=57e04d1f-9a72-44c3-bfdb-9e66f05f34aa,10121
2541,"ІА-91","ІА-91",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=1bfc98af-4f28-40dc-91de-3dc7260b7f04,10121
8750,"ІА-91мн","ІА-91мн (АУТС)",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=dc01f3a9-e267-4a98-8716-516e094db412,10121
2542,"ІА-92","ІА-92",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=ab462175-f7c5-4aef-9fb9-e6f14cba01fd,10121
2543,"ІА-93","ІА-93",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=58c5d5c5-8d9a-412b-b20f-408302abf6e8,10121
8756,"ІА-94","ІА-94",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=a09f7d25-76fb-436b-a109-64b508971a2c,10121
4747,"ІА-з01","ІА-з01",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=305ffff8-f84f-462d-b163-a5f1b9ba4aff,10121
10012,"ІА-з02мп","ІА-з02мп",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=6c4ac169-8f73-4f83-9fdc-83190bb68b5d,10121
3981,"ІА-з91","ІА-з91",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=303c73cd-726d-418a-943f-948d585cb7ed,10121
7239,"ІВ-71","ІВ-71",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=253cbb80-8cb9-4a90-9015-95dcaec566ab,10164
7240,"ІВ-72","ІВ-72",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=57cc172f-94ad-43c1-a016-1850d23e927e,10164
7241,"ІВ-73","ІВ-73",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=94bb8054-e481-4a4c-bb04-b9463c98d2cb,10164
8330,"ІВ-81","ІВ-81",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=e1dd1136-3fd1-4c47-9d59-0c809290ff6e,10164
8331,"ІВ-82","ІВ-82",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=1b0f1e3d-47b4-4dba-9094-65a6b5a70ab7,10164
8332,"ІВ-83","ІВ-83",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=c1d0fad7-9f23-4cb1-aba2-a0cdde616637,10164
8799,"ІВ-91","ІВ-91",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=45c37c7d-08f3-4bbb-a3dd-1bcc2cc62a51,10164
8800,"ІВ-92","ІВ-92",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=152f7057-b010-4c0c-bbc7-7c6e1b37dce2,10164
8801,"ІВ-93","ІВ-93",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=be2f4730-c3ac-4ec4-9e3b-11c18ab26c3d,10164
8805,"ІО-з91","ІО-з91",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=3251e79d-bc48-40f8-9b35-36adc77fa05c,10164
2569,"ІП-01","ІП-01",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=b7b399d2-4554-47ff-af5a-123234d120ab,10120
10023,"ІП-01мн","ІП-01мн",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=5fd29ac1-cdf8-4922-a656-bc9e89a4cf6e,10120
10018,"ІП-02","ІП-02",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=4a59b403-0134-4bf3-bf4a-feb388e80a72,10120
10024,"ІП-02мп","ІП-02мп",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=dcd3a977-b17b-43af-8f84-94430094da8a,10120
10043,"ІП-03","ІП-03",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=ce34b265-a361-4984-8a59-2c0023138ce8,10164
10052,"ІП-03мн","ІП-03мн",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=87211a23-d645-43bf-8400-7042a9d0a388,10164
10044,"ІП-04","ІП-04",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=e862f093-c1e6-4f00-b29b-6492b5684d42,10164
10041,"ІП-04мп","ІП-04мп",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=1c403f95-ba62-4289-9bac-19db6b7f8ae0,10164
10045,"ІП-05","ІП-05",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=9c256301-956a-417e-8262-20cbad441576,10164
7224,"ІП-71","ІП-71",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=1a759706-ad00-466b-a9cd-aa2305fdddb0,10120
