uuid,name,faculty_id
db3337f8-6ba3-4c48-a82e-db8300de421e,ІА-01,10106
9f47069e-23eb-4ce4-8476-5771bb8cd338,ІА-01мн,10106
be2f6da6-e6d1-4633-9c0e-af74586c0b9c,ІА-01ф,10106
7106a8fa-1b85-4086-951c-4baf1194f260,ІА-02,10106
939ffd4e-7a4a-4f10-96be-574b00f06d6b,ІА-02мп,10106
25f67105-a79e-4666-b511-fb2803fdc6fc,ІА-03,10106
96860c67-2892-4fe3-8a2f-b15dc3adc159,ІА-04,10106
e13bd1e7-22a7-4217-8170-a2a00fd3bbb1,ІА-71,10106
f13313f6-5808-414c-88c6-ab4f1d443b9a,ІА-72,10106
a1a1edb8-397a-4dac-af8e-47d468fec29d,ІА-73,10106
ae7c3d8c-9a36-434d-af7c-31a62779905e,ІА-81,10106
f7d870b3-3e81-4133-a4b3-90eed09aa8a8,ІА-82,10106
57e04d1f-9a72-44c3-bfdb-9e66f05f34aa,ІА-83,10106
1bfc98af-4f28-40dc-91de-3dc7260b7f04,ІА-91,10106
dc01f3a9-e267-4a98-8716-516e094db412,ІА-91мн (АУТС),10106
ab462175-f7c5-4aef-9fb9-e6f14cba01fd,ІА-92,10106
58c5d5c5-8d9a-412b-b20f-408302abf6e8,ІА-93,10106
a09f7d25-76fb-436b-a109-64b508971a2c,ІА-94,10106
58e5c47d-abf5-4a81-800d-8cefac9e809c,ІАР-01ф,
dff22692-7e0b-41cb-a47a-494241b5b6e0,ІАР-91ф,
253cbb80-8cb9-4a90-9015-95dcaec566ab,ІВ-71,10106
57cc172f-94ad-43c1-a016-1850d23e927e,ІВ-72,10106
94bb8054-e481-4a4c-bb04-b9463c98d2cb,ІВ-73,10106
e1dd1136-3fd1-4c47-9d59-0c809290ff6e,ІВ-81,10106
1b0f1e3d-47b4-4dba-9094-65a6b5a70ab7,ІВ-82,10106
c1d0fad7-9f23-4cb1-aba2-a0cdde616637,ІВ-83,10106
45c37c7d-08f3-4bbb-a3dd-1bcc2cc62a51,ІВ-91,10106
152f7057-b010-4c0c-bbc7-7c6e1b37dce2,ІВ-92,10106
be2f4730-c3ac-4ec4-9e3b-11c18ab26c3d,ІВ-93,10106
